vid,vehicle_class,vocation,vehicle_type,fuel_type,drivetrain_type
125.0,6.0,Linen Delivery,Walk In,Diesel,Conventional
126.0,6.0,Linen Delivery,Walk In,Diesel,Conventional
127.0,6.0,Linen Delivery,Walk In,Diesel,Parallel Hybrid
128.0,6.0,Linen Delivery,Walk In,Diesel,Conventional
129.0,6.0,Linen Delivery,Walk In,Diesel,Parallel Hybrid
130.0,6.0,Linen Delivery,Walk In,Diesel,Parallel Hybrid
131.0,6.0,Linen Delivery,Walk In,Diesel,Parallel Hybrid
132.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
133.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
134.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
135.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
136.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
137.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
138.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
139.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
140.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
141.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
142.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
143.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
144.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
145.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
146.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
147.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
